backslashjasdlf',backslashasdn',0,0,0,1,0,NULL,NULL,NULL,NULL,backslash;',NULL,NULL,NULL,NULL,NULL,backslash',;',dblequote',B.H.',Thursday',2018-07-12 07:55:06'
'1','15',1,NULL,NULL,0,NULL,NULL,0,0,NULL,'1 bar out shelf 1 ','N/A',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p.','Thursday','2018-07-19 08:43:31'
'1','16',1,0,1,1,0,1,0,0,NULL,'1 bar out shelf 4 ',NULL,'res low ','less than 50%',NULL,NULL,NULL,NULL,NULL,'d.p.','Thursday','2018-07-19 08:44:30'
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p.','Thursday','2018-07-19 08:53:05'
'1','17',NULL,0,NULL,0,NULL,1,NULL,0,NULL,'N/A',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p.','Thursday','2018-07-19 08:59:45'
'1','18',0,1,NULL,0,NULL,1,0,0,NULL,NULL,'discoloring ','N/A',NULL,NULL,NULL,NULL,NULL,NULL,'d.p.','Thursday','2018-07-19 09:23:51'
'1','1',0,0,0,1,0,1,0,0,1,NULL,NULL,NULL,'lesss than 50%',NULL,NULL,NULL,NULL,'1/2riser taken out overflow issue ','d.p. 1','Friday','2018-07-20 08:31:34'
'1','2',1,NULL,NULL,0,NULL,NULL,0,0,NULL,'diodes out multi shelfs','N/A',NULL,NULL,NULL,NULL,NULL,NULL,'N/A','d.p. 1','Friday','2018-07-20 08:33:44'
'1','3',0,0,1,0,0,1,0,0,0,NULL,NULL,'manifold uneven multi shelf ',NULL,NULL,NULL,NULL,NULL,NULL,'d.p. 1','Friday','2018-07-20 08:37:50'
'1','4',0,1,0,0,0,2,0,0,0,NULL,'discolored ',NULL,NULL,NULL,'damage to leaves ',NULL,NULL,NULL,'d.p. 1','Friday','2018-07-20 08:41:00'
'1','5',1,0,0,0,0,1,1,0,0,'1 bar out shelf 1',NULL,NULL,NULL,NULL,NULL,'down ',NULL,NULL,'d.p. ','Friday','2018-07-20 08:45:03'
'1','6',0,1,0,0,0,1,1,0,0,NULL,'wilted',NULL,NULL,NULL,NULL,'down',NULL,NULL,'d.p. ','Friday','2018-07-20 08:46:55'
'1','7',0,1,1,0,0,1,0,0,1,NULL,'wilted; discolored ','uneven multi level ',NULL,NULL,NULL,NULL,NULL,'riser 2/2 out shelf 5','d.p. ','Friday','2018-07-20 08:51:24'
'1 ','8',1,0,0,1,0,2,0,0,0,'1 bar out shef 2',NULL,NULL,'less than ',NULL,'aphids ',NULL,NULL,NULL,'d.p. ','Friday','2018-07-20 08:54:52'
'1','9 ',1,NULL,NULL,0,NULL,NULL,1,0,NULL,'1 bar out shelf 4','N/A',NULL,NULL,NULL,NULL,'down ',NULL,'N/A','d.p. ','Friday','2018-07-20 08:56:34'
'1','10',0,NULL,NULL,0,NULL,NULL,1,0,NULL,NULL,'N/A',NULL,NULL,NULL,NULL,'down ',NULL,'N/A','d.p. ','Friday','2018-07-20 08:57:51'
'1','11',1,NULL,NULL,0,NULL,NULL,1,0,NULL,'1 bar shelf 1','N/A',NULL,NULL,NULL,NULL,'down',NULL,'N/A','d.p. ','Friday','2018-07-20 08:59:27'
'1','12',0,NULL,NULL,0,NULL,NULL,1,0,NULL,NULL,'N/A',NULL,NULL,NULL,NULL,'down',NULL,'N/A','d.p. ','Friday','2018-07-20 09:01:00'
'1','13',0,NULL,NULL,0,NULL,NULL,0,0,NULL,NULL,'N/A',NULL,NULL,NULL,NULL,NULL,NULL,'N/A','d.p. ','Friday','2018-07-20 09:01:56'
'1','13',0,0,1,0,1,1,0,0,0,NULL,NULL,'uneven flow multi shelfs /nipple off shelf 7',NULL,'meter 85',NULL,NULL,NULL,NULL,'d.p. ','Friday','2018-07-20 09:07:08'
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p. ','Friday','2018-07-20 09:07:08'
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p. ','Friday','2018-07-20 09:07:09'
'1','14',1,0,0,0,0,1,0,0,1,'1 bar out shelf 1',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'1/2 riser taken out shelf 1 for flow control ','d.p. ','Friday','2018-07-20 09:13:01'
'1 ','16 ',1,0,1,0,0,1,0,0,0,'1 bar out shelf 4',NULL,'uneven multi level ',NULL,NULL,NULL,NULL,NULL,NULL,'d.p. ','Friday','2018-07-20 09:22:19'
'1','17 ',NULL,0,NULL,0,NULL,1,0,0,NULL,'N/A',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p. ','Friday','2018-07-20 09:22:58'
'1','18 ',1,1,NULL,0,NULL,1,0,0,NULL,NULL,'discolored',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p. ','Friday','2018-07-20 09:25:08'
'1','1',NULL,0,0,NULL,0,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'some standing water around resovior and outside of room but no visible leaks; water has been mopped up',NULL,'NB','Sunday','2018-07-22 12:11:43'
'1','3',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'NB','Sunday','2018-07-22 12:15:03'
'1','4',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'NB','Sunday','2018-07-22 12:15:23'
'1','5',NULL,0,1,NULL,0,NULL,NULL,0,NULL,NULL,NULL,'fixed flow',NULL,NULL,NULL,NULL,NULL,NULL,'NB','Sunday','2018-07-22 12:15:44'
'1','6',NULL,0,1,NULL,0,NULL,NULL,0,NULL,NULL,NULL,'fixed flow',NULL,NULL,NULL,NULL,NULL,NULL,'NB','Sunday','2018-07-22 12:17:07'
'1','7',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'NB','Sunday','2018-07-22 12:18:25'
'1','8',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'NB','Sunday','2018-07-22 12:18:45'
'1','14',NULL,0,1,NULL,0,NULL,NULL,0,NULL,NULL,NULL,'fixed flow',NULL,NULL,NULL,NULL,NULL,NULL,'NB','Sunday','2018-07-22 12:20:26'
'1','15',NULL,0,1,NULL,0,NULL,NULL,0,NULL,NULL,NULL,'fixed flow',NULL,NULL,NULL,NULL,NULL,NULL,'NB','Sunday','2018-07-22 12:21:45'
'1','16',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'NB','Sunday','2018-07-22 12:23:05'
'2','1',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'NB','Sunday','2018-07-22 12:25:29'
'1','1',1,0,0,1,0,1,0,1,NULL,'diodes out shelf 4',NULL,NULL,'less than 50%',NULL,NULL,NULL,'near front right leg',NULL,' d.p.','Monday','2018-07-23 08:43:53'
'1','2',1,NULL,NULL,0,NULL,NULL,0,0,NULL,'diodes out shelf 1','N/A',NULL,NULL,NULL,NULL,NULL,NULL,NULL,' d.p.','Monday','2018-07-23 08:45:16'
'1','3',0,0,0,0,0,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,' d.p.','Monday','2018-07-23 08:47:19'
'1','4',0,1,0,1,0,2,0,0,NULL,NULL,'discolored; necrosis ',NULL,'less than ',NULL,'damage ',NULL,NULL,NULL,' d.p.','Monday','2018-07-23 08:50:23'
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,' d.p.','Monday','2018-07-23 08:50:32'
'1','5 ',1,1,1,1,1,2,1,0,NULL,'1 bar out shef 1','damage to leaves ','uneven flow/off ','less than 50%','meter 70-80','damage to leaves ','down ',NULL,NULL,' d.p.','Monday','2018-07-23 08:54:18'
'1','6',0,0,1,1,1,1,1,0,NULL,NULL,NULL,'uneven/off','less than 50%','meter 88%',NULL,'down',NULL,NULL,' d.p.','Monday','2018-07-23 08:57:09'
'1','7',0,0,0,0,0,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,'minor damage yet present',NULL,NULL,NULL,' d.p.','Monday','2018-07-23 08:59:16'
'1','8',1,0,0,1,1,3,0,0,NULL,'1 bar out shelf 2',NULL,NULL,'less than 50%','88','aphids ',NULL,NULL,NULL,' d.p.','Monday','2018-07-23 09:01:51'
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,' d.p.','Monday','2018-07-23 09:01:52'
'1 `','9',1,NULL,NULL,0,NULL,NULL,0,0,NULL,'1 bar out shelf 4','N/A',NULL,NULL,NULL,NULL,'down ',NULL,NULL,' d.p.','Monday','2018-07-23 09:03:44'
'1','10',0,NULL,NULL,0,NULL,NULL,1,0,NULL,NULL,'N/A',NULL,NULL,NULL,NULL,'down',NULL,NULL,' d.p.','Monday','2018-07-23 09:05:14'
'1','11',1,NULL,NULL,0,NULL,NULL,1,0,NULL,'1 bar out shelf 1','N/A',NULL,NULL,NULL,NULL,'down ',NULL,NULL,' d.p.','Monday','2018-07-23 09:06:11'
'1','12',0,NULL,NULL,0,NULL,NULL,1,0,NULL,NULL,'N/A',NULL,NULL,NULL,NULL,'down',NULL,NULL,' d.p.','Monday','2018-07-23 09:07:34'
'1','13',0,NULL,NULL,0,NULL,NULL,0,0,NULL,NULL,'N/A',NULL,NULL,NULL,NULL,NULL,NULL,NULL,' d.p.','Monday','2018-07-23 09:08:27'
'1','14',0,0,1,0,1,1,0,0,NULL,NULL,NULL,'uneven ',NULL,'meter 84',NULL,NULL,NULL,NULL,' d.p.','Monday','2018-07-23 09:11:43'
'1','15',1,1,0,0,0,1,0,0,NULL,'1 bar out shef 1','wilted shelf 1 ',NULL,NULL,NULL,NULL,NULL,NULL,NULL,' d.p.','Monday','2018-07-23 09:15:06'
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,' d.p.','Monday','2018-07-23 09:15:06'
'1','16 ',1,0,0,0,0,1,0,0,NULL,'1 bar out shelf 3 ',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,' d.p.','Monday','2018-07-23 09:17:16'
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,' d.p.','Monday','2018-07-23 09:17:16'
'1','17',NULL,NULL,NULL,1,NULL,NULL,NULL,0,NULL,'N/A','N/A',NULL,'less than 50%',NULL,NULL,NULL,NULL,NULL,' d.p.','Monday','2018-07-23 09:23:57'
'1','18',0,1,NULL,0,NULL,1,1,0,NULL,NULL,'minor discolorment ','N/A',NULL,NULL,NULL,'off',NULL,NULL,' d.p.','Monday','2018-07-23 09:25:47'
'`1','1',0,0,0,0,0,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'jw','Tuesday','2018-07-24 08:29:53'
'1','2',1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'shelf 1',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'jw1','Tuesday','2018-07-24 08:31:27'
'1','3',0,0,0,0,0,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'jw','Tuesday','2018-07-24 08:32:49'
'1','4',0,0,0,1,0,1,1,0,NULL,NULL,NULL,NULL,'less 50%',NULL,NULL,'not working',NULL,NULL,'jw','Tuesday','2018-07-24 08:34:40'
'1','5',0,0,0,0,0,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'jw','Tuesday','2018-07-24 08:35:54'
'1','6',0,1,0,0,0,1,1,0,NULL,NULL,'all dried out',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'jw','Tuesday','2018-07-24 08:41:08'
'1','7',0,1,0,0,0,1,0,0,NULL,NULL,'shelf 4  plants dead',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'jw','Tuesday','2018-07-24 08:41:58'
'1','8',1,1,0,0,0,2,0,0,NULL,'shelf 2','no good tasting   looks bad',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'jw','Tuesday','2018-07-24 08:44:31'
'1','9',1,NULL,NULL,1,NULL,NULL,1,0,NULL,'1 bar out shelf 4','N/A',NULL,'filling ',NULL,NULL,'down',NULL,NULL,'d.p.','Tuesday','2018-07-24 08:49:00'
'1','10',0,NULL,0,1,0,NULL,1,1,NULL,NULL,'N/A',NULL,'filling ',NULL,NULL,'down','wet spot between 10-11',NULL,'d.p.','Tuesday','2018-07-24 08:51:47'
'1','11',1,NULL,0,1,0,NULL,1,0,NULL,'1 bar out shelf 1','N/A',NULL,'filling',NULL,NULL,'down ',NULL,NULL,'d.p.','Tuesday','2018-07-24 09:08:38'
'1','12',0,NULL,0,1,0,NULL,1,1,NULL,NULL,'N/A',NULL,'filling',NULL,NULL,'N/A','major leak being addressed ',NULL,'d.p.','Tuesday','2018-07-24 09:09:53'
'1','13',0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,'N/A',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p.','Tuesday','2018-07-24 09:10:50'
'1','14',0,1,0,1,1,1,0,0,NULL,NULL,'shelf 1 burnt tips ',NULL,'filling ','85%',NULL,NULL,NULL,NULL,'d.p.','Tuesday','2018-07-24 09:12:47'
'1','15',1,1,0,0,0,1,0,0,NULL,'1 bar out rack 1','shelf 1 wilted ',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p.','Tuesday','2018-07-24 09:13:58'
'1','16',1,0,0,0,0,1,0,0,NULL,'1 bar out shelf 4',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p.','Tuesday','2018-07-24 09:15:07'
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p.','Tuesday','2018-07-24 09:25:51'
'1','17',NULL,NULL,NULL,1,NULL,NULL,NULL,0,NULL,'N/A','N/A',NULL,'less than 50%',NULL,NULL,NULL,NULL,NULL,'d.p.','Tuesday','2018-07-24 09:28:36'
'1','18',0,1,NULL,1,NULL,2,1,0,NULL,NULL,'some wilt; some necrosis',NULL,'less than',NULL,'some aphids on mesclun','off',NULL,NULL,'d.p.','Tuesday','2018-07-24 09:32:13'
'1','1',1,0,0,0,0,2,0,0,NULL,'diode out shelf 4',NULL,NULL,NULL,NULL,'thrips present ',NULL,NULL,NULL,'d.p.','Wednesday','2018-07-25 08:13:48'
'1','2',1,NULL,NULL,0,NULL,NULL,0,0,NULL,'diodes out shelf 1','N/A',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p.','Wednesday','2018-07-25 08:15:06'
'1','3',0,0,0,0,0,1,0,0,NULL,NULL,NULL,NULL,'0',NULL,NULL,NULL,NULL,NULL,'d.p.','Wednesday','2018-07-25 08:17:09'
'1','4',0,1,0,1,0,3,0,0,NULL,NULL,'necrosis; wilted; discolored ',NULL,'less thsn 50%',NULL,'thripe damage to leaves',NULL,NULL,NULL,'d.p.','Wednesday','2018-07-25 08:20:45'
'1','5',1,1,1,1,0,2,1,0,NULL,'1  bar out shelf 1','minor discoloration','flow uneven','less than 50%',NULL,'some damage to leaves; minor amount','down ',NULL,NULL,'d.p.','Wednesday','2018-07-25 08:24:51'
'1','6 ',0,1,1,1,0,0,1,0,NULL,NULL,'discoloration','uneven ','less than 50%','meter 85',NULL,'down ',NULL,NULL,'d.p.','Wednesday','2018-07-25 08:27:01'
'1','7',0,1,0,0,0,1,0,0,NULL,NULL,'wilted; discolered ',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p.','Wednesday','2018-07-25 08:28:53'
'1','8',1  ,1,NULL,0,0,3,0,0,NULL,'1 bar out shelf 2','disdolored; ',NULL,NULL,NULL,'aphids present ',NULL,NULL,NULL,'d.p.','Wednesday','2018-07-25 08:31:55'
'1','9',1,NULL,1,0,0,NULL,1,0,NULL,'1 bar out shelf 4','N/A','uneven',NULL,NULL,NULL,'down',NULL,NULL,'d.p.','Wednesday','2018-07-25 08:32:51'
'1','10',0,NULL,1,0,0,NULL,0,0,NULL,NULL,'N/A','uneven ',NULL,NULL,NULL,'down ',NULL,NULL,'d.p.','Wednesday','2018-07-25 08:34:28'
'1','11',1,NULL,1,1,1,NULL,1,0,NULL,'1 bar out shelf 1','N/A','uneven ','less than 50%','meter 85',NULL,'down ',NULL,NULL,'d.p.','Wednesday','2018-07-25 08:36:23'
'1','12',0,NULL,0,1,0,NULL,1,0,NULL,NULL,'N/A',NULL,'less than ',NULL,NULL,'down',NULL,NULL,'d.p.','Wednesday','2018-07-25 08:38:51'
'1','13',0,NULL,NULL,1,NULL,NULL,0,0,NULL,NULL,'N/A',NULL,'Water level above lock valve (leak/flood risk )',NULL,NULL,NULL,NULL,NULL,'d.p.','Wednesday','2018-07-25 08:40:51'
'1','13',0,0,0,1,1,1,0,0,NULL,NULL,NULL,NULL,'less than 50%','meter 85 ',NULL,NULL,NULL,NULL,'d.p.','Wednesday','2018-07-25 08:42:48'
'1','14',1,1,1,1,0,1,0,0,NULL,'1 bar out shelf 1','some wilted; some discolored ','uneven ','less than 50%',NULL,NULL,NULL,NULL,NULL,'d.p.','Wednesday','2018-07-25 08:43:53'
'1','16',1,0,0,0,0,1,0,0,NULL,'1 bar out shelf 4',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p.','Wednesday','2018-07-25 08:45:51'
'1','17',NULL,NULL,NULL,1,NULL,NULL,1,0,NULL,'N/A','N/A',NULL,'less than 50%',NULL,NULL,'off',NULL,NULL,'d.p.','Wednesday','2018-07-25 08:48:41'
'1','18',NULL,1,NULL,1,NULL,NULL,1,0,NULL,'N/A','some burnt tip ','N/A','less than 50%',NULL,NULL,'off',NULL,NULL,'d.p.','Wednesday','2018-07-25 08:51:06'
'1','1',1,1,0,0,1,2,0,0,1,'diodes out shelf 4','discolored ',NULL,NULL,'meter 89','damage to leaves ',NULL,NULL,'multi shelfs risers out /screens as well ','d.p.','Friday','2018-07-27 08:16:38'
'1','2',1,NULL,NULL,1,NULL,NULL,0,NULL,NULL,'1 bar out shelf 1','N/A',NULL,'drained ',NULL,NULL,NULL,NULL,NULL,'d.p.','Friday','2018-07-27 08:17:47'
'1','3',0,0,1,0,0,2,0,0,0,NULL,NULL,'uneven ',NULL,NULL,'damage to leaves minor ',NULL,NULL,NULL,'d.p.','Friday','2018-07-27 08:23:50'
'1','4',0,1,0,0,0,2,0,0,0,NULL,'discolored; necrosis ',NULL,NULL,NULL,'damage to leaves ',NULL,NULL,NULL,'d.p.','Friday','2018-07-27 08:25:20'
'1','5',1,1,1,0,0,2,1,0,0,'1 bar out shelf 1','discolored ','uneven ',NULL,NULL,'damage to leaves minor ','down',NULL,NULL,'d.p.','Friday','2018-07-27 08:31:34'
'1','6 ',0,1,0,0,1,2,1,0,0,NULL,'some wilting ',NULL,NULL,'meter 89','aphids present ','down',NULL,NULL,'d.p.','Friday','2018-07-27 08:33:51'
'1','7',0,1,1,1,0,2,0,0,0,NULL,'some wilting ','uneven ','less than 50%',NULL,'damage to leaves minor ',NULL,NULL,NULL,'d.p.','Friday','2018-07-27 08:36:48'
'1','8',1,NULL,NULL,0,NULL,NULL,0,1,NULL,'1 bar out shelf 1','N/A',NULL,NULL,NULL,NULL,NULL,'wet spot front of rack',NULL,'d.p.','Friday','2018-07-27 08:38:27'
'1','9',1,0,0,0,0,1,1,0,0,'1 bar out shelf 4',NULL,NULL,NULL,NULL,NULL,'down ',NULL,NULL,'d.p.','Friday','2018-07-27 08:47:03'
'1','10',0,0,0,0,0,1,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,'down',NULL,NULL,'d.p.','Friday','2018-07-27 08:48:41'
'1','11',1,0,0,0,1,1,1,0,0,'1 bar out shelf 1',NULL,NULL,NULL,'meter 85',NULL,'down ',NULL,NULL,'d.p.','Friday','2018-07-27 08:52:10'
'1','12',0,0,0,0,0,2,1,0,0,NULL,NULL,NULL,NULL,NULL,'damage to leaves minor ','down',NULL,NULL,'d.p.','Friday','2018-07-27 08:53:40'
'1','13',0,NULL,NULL,0,NULL,NULL,0,0,1,NULL,'N/A',NULL,NULL,NULL,NULL,NULL,NULL,'one mising shelf 6','d.p.','Friday','2018-07-27 08:57:13'
'1','14',0,1,0,0,1,1,0,0,0,NULL,'discolored brown roots',NULL,NULL,'meter 84',NULL,NULL,NULL,NULL,'d.p.','Friday','2018-07-27 08:58:53'
'1','15',1,1,0,0,0,2,0,0,0,'1 bar out shelf 1','some wilted ',NULL,NULL,NULL,'aphids present ',NULL,NULL,NULL,'d.p.','Friday','2018-07-27 09:03:25'
'1','16',1,0,0,1,0,1,0,0,0,'1 bar out shelf 4 ',NULL,NULL,'less than 50%',NULL,'0',NULL,NULL,NULL,'d.p.','Friday','2018-07-27 09:05:01'
'1','17',NULL,0,0,0,0,1,0,0,0,'N/A',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p.','Friday','2018-07-27 09:12:38'
'1','18',NULL,0,NULL,0,NULL,1,NULL,0,0,'N/A',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p.','Friday','2018-07-27 09:13:18'
'1','1',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'JDW','Saturday','2018-07-28 11:44:57'
'1','3',NULL,0,1,NULL,0,NULL,NULL,0,NULL,NULL,NULL,'No flow on shelf 1',NULL,NULL,NULL,NULL,NULL,NULL,'JDW','Saturday','2018-07-28 11:46:17'
'1','5',NULL,0,1,NULL,0,NULL,NULL,0,NULL,NULL,NULL,'Poor fow shelves 5-7',NULL,NULL,NULL,NULL,NULL,NULL,'JDW','Saturday','2018-07-28 11:49:46'
'1','7',NULL,1,0,NULL,0,NULL,NULL,0,NULL,NULL,'Shelf 4 dead',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'JDW','Saturday','2018-07-28 11:50:37'
'1','9',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'JDW','Saturday','2018-07-28 11:51:41'
'1','10',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'JDW','Saturday','2018-07-28 11:52:48'
'1','11',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'JDW','Saturday','2018-07-28 11:53:18'
'1','12',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'JDW','Saturday','2018-07-28 11:54:13'
'1','14',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'JDW','Saturday','2018-07-28 11:55:44'
'1','15',NULL,1,0,NULL,0,NULL,NULL,0,NULL,NULL,'Dead plants shelf 1',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'JDW','Saturday','2018-07-28 11:57:01'
'1','16',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'JDW','Saturday','2018-07-28 11:57:51'
'1','PR1',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'JDW','Saturday','2018-07-28 12:01:12'
'1','1',NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'JDW','Sunday','2018-07-29 16:05:27'
'1','3',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'JDW','Sunday','2018-07-29 16:06:02'
'1','5',NULL,0,1,NULL,0,NULL,NULL,0,NULL,NULL,'Ready for harvest','Weak flow on bottom shelves',NULL,NULL,NULL,NULL,NULL,NULL,'JDW','Sunday','2018-07-29 16:07:14'
'1','7',NULL,1,0,NULL,0,NULL,NULL,0,NULL,NULL,'Dead plants shelf 4',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'JDW','Sunday','2018-07-29 16:08:10'
'1','9',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'JDW','Sunday','2018-07-29 16:08:56'
'1','10',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'JDW','Sunday','2018-07-29 16:09:52'
'1','11',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'JDW','Sunday','2018-07-29 16:10:05'
'1','12',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'JDW','Sunday','2018-07-29 16:11:24'
'1','14',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'JDW','Sunday','2018-07-29 16:12:42'
'1','15',NULL,1,0,NULL,0,NULL,NULL,0,NULL,NULL,'Dead plants shelf 1',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'JDW','Sunday','2018-07-29 16:13:47'
'1','16',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'JDW','Sunday','2018-07-29 16:14:26'
'1','PR1',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'JDW','Sunday','2018-07-29 16:18:34'
'1','1',0,1,0,1,1,2,0,0,NULL,NULL,'discolored ',NULL,'less than 50%','meter 89','damage to leaves; thripes present',NULL,NULL,NULL,'d.p.','Monday','2018-07-30 08:06:37'
'1','2',1,NULL,NULL,1,NULL,NULL,0,NULL,NULL,'1 bar out shelf 1','N/A',NULL,'less than 50%',NULL,NULL,NULL,NULL,NULL,'d.p.','Monday','2018-07-30 08:07:33'
'1','3',0,0,1,0,0,2,0,0,NULL,NULL,NULL,'uneven ',NULL,NULL,'damage to leaves ',NULL,NULL,NULL,'d.p.','Monday','2018-07-30 08:09:42'
'1','5',0,NULL,NULL,1,NULL,NULL,0,0,NULL,NULL,'N/A',NULL,'less than 50%',NULL,NULL,NULL,NULL,NULL,'d.p.','Monday','2018-07-30 08:11:01'
'1','4',1,1,1,1,1,1,1,0,NULL,'1 bar out shelf 1','discolored ','uneven ','less than 50%','meter 85%','damage to leaves ','down ',NULL,NULL,'d.p.','Monday','2018-07-30 08:15:06'
'1','6',0,NULL,NULL,1,NULL,NULL,1,0,NULL,NULL,'N/A',NULL,'Less than 50%',NULL,NULL,'down ',NULL,NULL,'d.p.','Monday','2018-07-30 08:17:14'
