backslashjasdlf',backslashasdn',0,0,0,1,0,NULL,NULL,NULL,NULL,backslash;',NULL,NULL,NULL,NULL,NULL,backslash',;',dblequote',B.H.',Thursday',2018-07-12 07:55:06'
1',18',0,0,NULL,0,NULL,0,0,0,NULL,NULL,NULL,N/A',NULL,N/A',NULL,NULL,NULL,N/A',d.p.',Friday',2018-07-13 09:59:35'
1',1',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Saturday',2018-07-14 10:29:53'
1',2',NULL,0,1,NULL,0,NULL,NULL,0,NULL,NULL,NULL,Top off',NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Saturday',2018-07-14 10:30:10'
1',3',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,N/A',NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Saturday',2018-07-14 10:30:26'
1',4',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Saturday',2018-07-14 10:31:38'
1',9',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Saturday',2018-07-14 10:31:48'
1',10',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Saturday',2018-07-14 10:32:00'
1',11',NULL,1,0,NULL,0,NULL,NULL,0,NULL,NULL,Massive Aphids',NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Saturday',2018-07-14 10:32:25'
1',12',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Saturday',2018-07-14 10:33:44'
1',13',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Saturday',2018-07-14 10:33:57'
1',14',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Saturday',2018-07-14 10:34:11'
1',15',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NA',NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Saturday',2018-07-14 10:34:26'
1',16',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NA',NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Saturday',2018-07-14 10:34:40'
1',5',NULL,0,1,NULL,0,NULL,NULL,0,NULL,NULL,NULL,Top slow flow',NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Saturday',2018-07-14 10:35:05'
1',6',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Saturday',2018-07-14 10:35:19'
1',7',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NA',NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Saturday',2018-07-14 10:35:33'
1',8',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Saturday',2018-07-14 10:35:49'
1',1',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Sunday',2018-07-15 16:42:03'
1',2',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Sunday',2018-07-15 16:42:18'
1',3',NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Na',NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Sunday',2018-07-15 16:42:29'
