'1',1,1400,72.3,58,NULL,NULL,'jklasdj;snglquotesnglquotebackslash/.backslashbackslash.backslashbackslash;;backslash;backslashdblquote; Drop table',NULL,'bh', 'Tuesday', '2018-07-24 13:41:37'
'1',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'bh', 'Tuesday', '2018-07-24 13:46:37'
'1',1,1800,70.9,54,'out of booties',NULL,NULL,NULL,'nb', 'Wednesday', '2018-08-01 15:10:00'
'1',1,1650,72.1,526,'dose machine in use ','approx; time 8:30',NULL,NULL,'d.p.', 'Thursday', '2018-08-02 14:52:01'
'1',0,1600,73,53,NULL,NULL,NULL,NULL,'d.p.', 'Friday', '2018-08-03 15:27:16'
'1',1,1409,69,55,'dosing unit ',NULL,NULL,NULL,'d.p.', 'Monday', '2018-08-06 16:28:21'
'1',0,375,68,66,NULL,NULL,NULL,NULL,'d.p.', 'Tuesday', '2018-08-07 14:59:01'
